,ques,ans,ans2
437,西洋画では「ドロッピング」という、色を塗って乾かないうちに他の色を垂らし、そのにじみによって濃淡を出す日本画の技法を何というでしょう？,垂らし込み,たらしこみ
438,19世紀後半からイギリスが推進した「3C政策」の「C」とは、カイロ、カルカッタと、あと1つはどこの都市でしょう？,ケープタウン,ケープタウン
439,シロック、アブソルート、スミノフなどの銘柄がある、ロシアなどで製造されている蒸留酒を一般に何と総称するでしょう？,ウォッカ,ウォッカ
440,姪のハリエット・レーンがファーストレディを務めていた、歴代で唯一生涯独身であった第15代のアメリカ大統領は誰でしょう？,ジェームズ・ブキャナン,ブキャナン
441,サッカーのイタリア・セリエAで唯一、トップディヴィジョンから一度も降格したことがない、ミラノをホームタウンにしているクラブはどこでしょう？,インテルナツィオナーレ・ミラノ,インテル
442,思想家のビルンバウムによる造語である、ユダヤ人の故地における国家建設と民族文化再興を目的に始められ、1948年のイスラエル建国に結び付いた運動のことを何運動というでしょう？,シオニズム運動,シオニズム
443,漢字では「苦力」と書く、19世紀にヨーロッパ諸国が植民地にしていたアジアやアフリカで酷使された、中国人やインド人の下層労働者を指す言葉は何でしょう？,クーリー,クーリー
444,12，6，4，3…のように、各項の逆数が等差数列となる数列を何数列というでしょう？,調和数列,ちょうわ
445,麻雀で、一と九の牌だけを使って和了する役満は何でしょう？,清老頭,チンロウトウ
446,かつて旧日本軍の毒ガス製造工場があり、現在は野生化したウサギが数百羽暮らす「ウサギの島」として海外からも観光客を集める広島県竹原市に属する島はどこでしょう？,大久野島,おおくの
447,アイドルグループ「AKB48」の現役メンバーのうち、現在唯一の1期生メンバーとして活動しているのは誰でしょう？,峯岸みなみ,みねぎしみなみ
448,発信機を考案し、現在も電信による信号にその名前を残すアメリカの発明家は誰でしょう？,サミュエル・モールス,モールス
449,税金や人件費節約のために船主の国籍と異なる国に籍を置いている船を何というでしょう？,便宜置籍船,べんぎちせきせん
450,日本語のカナで「撥音」と呼ばれる音を表す文字は何でしょう？,ん,ん
451,いわゆる「平成仮面ライダー」の第1作目であり、オダギリジョー演じる五代雄介を主人公とする、2000年放送開始の特撮作品は『仮面ライダー何』でしょう？,『仮面ライダークウガ』,クウガ
452,『北槎聞略』に彼の体験がまとめられている、回船がロシアに漂流したのち、ラクスマンの尽力によって日本に帰国した、江戸時代後期の船頭は誰でしょう？,大黒屋光太夫,だいこくやこうだゆう
453,アメリカ映画『ロッキー』シリーズにおいて、主人公のボクサー、ロッキー・バルボアを演じている俳優は誰でしょう？,シルヴェスター・スタローン,スタローン
454,ゴボウなどの細長い野菜を包丁で削るように薄くそぎ落としていく切り方を、切った形がある植物の葉に似ていることから何というでしょう？,ささがき,ささがき
455,試合に選出された選手に帽子が贈られたことに由来する、ラグビーで国の代表同士が対戦するテストマッチに出場することを指す言葉は何でしょう？,キャップ,キャップ
456,藤原不比等の4人の息子が興した「藤原氏四家」の1つで、のちに道長や頼通などにより摂政・関白職を代々独占し隆盛を極めた家は何でしょう？,北家,ほっけ
457,ピカソの絵画『ゲルニカ』で知られる「ゲルニカ爆撃」とはどこの国の内戦中に起きた出来事でしょう？,スペイン,スペイン
458,たっぷりの野菜とチャーシューが載ったボリュームある太麺のラーメンを特徴とし、その愛好家は「ジロリアン」と呼ばれる、東京・三田に本店を置くラーメン店は何でしょう？,ラーメン二郎,ラーメンじろう
459,コモリネズミやフクロネズミなどの別名を持ち、死んだふりをする動物として知られる、アメリカ大陸に生息する有袋類は何でしょう？,オポッサム,オポッサム
460,392年にキリスト教を国教化したことや、395年の自身の死に際して帝国を東西に分割して2人の息子に継がせたことで知られる、ローマ帝国の皇帝は誰でしょう？,テオドシウス1世,テオドシウス1
461,ロシア語で「点を取る人」という意味がある、2018年のサッカーワールドカップの公式マスコットであるオオカミの名前は何でしょう？,ザビワカ,ザビワカ
462,牛車の通ったわだちによく生えたことから「車前草」という別名がある、葉や種子に咳止めなどの効能があるとされる植物は何でしょう？,オオバコ,オオバコ
463,人間の小腸で、十二指腸、空腸に続く部分を何というでしょう？,回腸,かいちょう
464,19歳の時にコンパスと定規のみで正17角形の作図が可能であることを発見したドイツの数学者は誰でしょう？,カール・フリードリヒ・ガウス,ガウス
465,コンゴ民主共和国はキンシャサを首都とする国ですが、コンゴ共和国はどこを首都とする国でしょう？,ブラザビル,ブラザビル
466,2014年に国際アンデルセン賞作家賞を受賞している、『獣の奏者』『精霊の守り人』などの代表作で知られる作家は誰でしょう？,上橋菜穂子,うえはしなほこ
467,1903年に第1回が行われ、毎年7月に3000km以上のコースを23日間かけて走り抜ける、自転車レースの最高峰とされるロードレースを一般に何というでしょう？,ツール・ド・フランス,ツールドフランス
468,2015年のノーベル平和賞を受賞したチュニジア国民対話カルテットが発足するきっかけとなった革命を、チュニジアを代表する花の名前にちなんで何革命というでしょう？,ジャスミン革命,ジャスミン
469,フランス南部にある歴史的要塞都市の名前がつけられている、地形タイルをルールに従って順番に置いて得点を競うボードゲームで、2001年にドイツ年間ゲーム大賞を受賞したのは何でしょう？,カルカソンヌ,カルカソンヌ
470,イギリスの男性貴族の爵位のうち、「男爵」と訳されるものを英語では何というでしょう？,バロン,バロン
471,アニメ第1作では千秋が声を担当した、キヨノサチコ作の絵本シリーズに登場する白猫の男の子の名前は何でしょう？,ノンタン,ノンタン
472,1938年のノーベル物理学賞受賞者で、世界初の原子炉を開発したことや、原子番号100の元素名の由来になっていることで知られるイタリア出身の物理学者は誰でしょう？,エンリコ・フェルミ,フェルミ
473,最大で1トン近い重さのソリを引いた競走馬が、障害物のあるコース上でレースを行う、かつて北海道各地で行われ現在は公営競技としては帯広市のみで行われている競馬の一種を何競馬というでしょう？,ばんえい競馬,ばんえい
474,『ムーミン』に登場するスナフキンの父親で、『妖怪番長』や『ハチワンダイバー』で知られる漫画家のペンネームの由来となっているキャラクターは誰でしょう？,ヨクサル,ヨクサル
475,日本の外務副大臣や防衛大臣政務官などを歴任した、安倍晋三の実弟である衆議院議員は誰でしょう？,岸信夫,きしのぶお
476,『とある魔術の禁書目録』『ソードアート・オンライン』『魔法科高校の劣等生』などのシリーズがある、KADOKAWAが出版するライトノベルのレーベルは何でしょう？,電撃文庫,でんげきぶんこ
477,英語では「lucid dream」という、睡眠中に見る夢の中でも特に、夢だという自覚があるもののことを日本語で何というでしょう？,明晰夢,めいせきむ
478,2009年、当時のアメリカ大統領にちなんで国の最高峰を「オバマ山」に改称した、首都をセントジョンズに置くカリブ海の島国はどこでしょう？,アンティグア・バーブーダ,アンティグアバーブーダ
479,ハンバーガーチェーン「ロッテリア」の名前の由来となった2つの言葉とは、「ロッテ」と何でしょう？,カフェテリア,カフェテリア
480,ペルー沖から中央太平洋にかけての広い海域で海面水温が平年よりも低くなる現象を、スペイン語で「女の子」を意味する言葉を使って何現象というでしょう？,ラ・ニーニャ現象,ラニーニャ
481,アメリカの心理学者リチャード・ドリスコールによって提唱された、障害があった方がかえって恋人同士の愛情がより高まるという心理現象を、ある戯曲のタイトルを使って何効果というでしょう？,ロミオとジュリエット効果,ロミオとジュリエット
482,1914年4月1日に宝塚歌劇団の第1回公演として上演された、童話『桃太郎』を題材とする作品のタイトルは何でしょう？,『ドンブラコ』,ドンブラコ
483,館内にある「ジオ・コスモス」という地球をかたどった球体ディスプレイ装置がシンボルである、宇宙飛行士の毛利衛が館長を務めている東京・お台場の科学館は何でしょう？,日本科学未来館,にっぽんかがくみらいかん
484,日系三世のマモル・タキタニが創業し、世界で初めてマカデミアナッツチョコレートを考え出したハワイの菓子メーカーは何でしょう？,ハワイアンホースト,ハワイアンホースト
485,エレベーターなどで屋上を表す「R」は何という英単語の略でしょう？,ルーフ,ルーフ
486,フランス語で「国家への一撃」という意味がある、武力などの非合法な手段で政権を奪うことを何というでしょう？,クーデター,クーデター
487,小説家・村上春樹のファンのことを、「主義者」を意味する接尾辞を使って何と通称するでしょう？,ハルキスト,ハルキスト
488,国会議員が国会の会期中、地元選挙区と東京とを毎週往復しながら政治活動をする様を意味する、曜日を表す漢字を2つ使った日本の政治用語は何でしょう？,金帰火来,きんきからい
489,日本の気象庁が発表する情報のうち、「気象警報」にあって「特別警報」にない唯一の項目名は何でしょう？,洪水,こうずい
490,とんち話で知られる一休宗純の父親であるという説がある、室町時代の北朝最後の天皇であり、第100代天皇でもあるのは何天皇でしょう？,後小松天皇,ごこまつ
491,田子の浦・竜田川・逢坂の関などがこれにあたる、古くから多くの和歌に詠まれてきた名所や地名のことを何というでしょう？,歌枕,うたまくら
492,主人公のホリ・ススムを操りカラフルなブロックを掘り進んでいく、ナムコから発売されたゲームといえば何でしょう？,『ミスタードリラー』,ミスタードリラー
493,雪合戦の公式ルールで、1チームの出場選手は原則何名と定められているでしょう？,7名,7
494,一般に略して「カポ」と呼ばれる、取り付けることで弦の長さを短くして楽器全体を移調する、ギターなどの弦楽器に使用される器具を何というでしょう？,カポタスト,カポタスト
495,日本の医学部のある大学のうち最も北に位置する、通称「きょくい」と呼ばれる大学は何大学でしょう？,旭川医科大学,あさひかわいか
496,沖縄県にある島のうち、面積が沖縄本島に次いで2番目に広い島といえばどこでしょう？,西表島,いりおもて
497,日本の都道府県で、赤間硯、大内塗、萩焼などの伝統工芸品があるのはどこでしょう？,山口県,やまぐち
498,主な出身者に、紅茶王のトーマス・リプトンや科学者のラムゼーなどがいる、スコットランド最大の都市といえばどこでしょう？,グラスゴー,グラスゴー
499,プログラマーの上谷隆宏によって2007年に開設された、イラストや漫画などの公開・閲覧を中心としたSNSは何でしょう？,pixiv,pixiv
500,コナン・ドイルの小説『最後の事件』で、シャーロック・ホームズが宿敵のモリアーティとともに落ちたとされる滝の名前は何でしょう？,ライヘンバッハの滝,ライヘンバッハ
501,ドラマ『逃げるは恥だが役に立つ』でオープニング曲を担当した、ももと小春の姉妹からなる音楽ユニットは何でしょう？,チャラン・ポ・ランタン,チャランポランタン
502,日本の村で唯一村内に新幹線の駅がある、福島県西白河郡の村は何村でしょう？,西郷村,にしごう
503,代表作に『贖罪』『Nのために』や、第6回本屋大賞を受賞した『告白』などがある人気ミステリー作家といえば誰でしょう？,湊かなえ,みなとかなえ
504,フランス語では「集合住宅の管理人」という意味の単語で、ホテルやマンション、デパートなどで利用者の様々な要望に応えたり、案内に対応したりする職業を何というでしょう？,コンシェルジュ,コンシェルジュ
505,1955年の建設以降、旧ソ連とロシアの宇宙船すべての打ち上げ場所となっている、現在のカザフスタン領内にあるロケット発射場を「何宇宙基地」というでしょう？,バイコヌール宇宙基地,バイコヌール
506,1792年にロシア初の遣日使節として根室に来航し、大黒屋光太夫ら漂流民を引き渡すとともに徳川幕府に通商を求めたロシアの軍人は誰でしょう？,アダム・ラクスマン,ラクスマン
507,『JJ』や『ViVi』などに代表される、男性受けするコンサバファッションを中心に扱った女性ファッション誌のことを、ある色を使って何系というでしょう？,赤文字系,あかもじ
508,13歳の頃から52歳の頃までの40年間を綴った、平安時代に菅原孝標女が著した日記文学は何でしょう？,『更級日記』,さらしなにっき
509,1919年にロシアで発明された世界初の電子楽器で、アンテナと手の間に蓄えられる静電容量を変化させることで音高と音量を調節して演奏する楽器を、その発明者の名前から何というでしょう？,テルミン,テルミン
510,サッカーのブラジル代表のことを、そのユニフォームが黄色いことにちなんだ愛称で何軍団と呼ぶでしょう？,カナリア軍団,カナリア
511,冷戦時代に北大西洋条約機構に対抗する形で設立され、1991年のソビエト連邦崩壊直前に解体された、ソ連など東欧諸国による安全保障機構を、創設を定めた条約の締結地の都市名をとって何条約機構というでしょう？,ワルシャワ条約機構,ワルシャワ
512,15世紀後半にイギリスで起こった薔薇戦争で、ヨーク家と争ったのは何家でしょう？,ランカスター家,ランカスター
513,囲炉裏の天井から下げ、火と吊るした鍋や釜との間の距離を調整するために使われる道具を何というでしょう？,自在鉤,じざいかぎ
514,女性文芸誌『青鞜』の創刊号に寄せた「元始、女性は実に太陽であった。」という言葉で知られる、市川房枝らとともに新婦人協会を設立した女性解放運動家は誰でしょう？,平塚らいてう,ひらつからいちょう
515,スピーカーシステムにおいて、周波数によってスピーカーユニットを2つ以上に分けた時、高音域を受け持つユニットを、動物の鳴き声を由来とする英語で何というでしょう？,ツイーター,ツイーター
516,「日本トイザらス」や「日本マクドナルド」の創業者として知られる実業家は誰でしょう？,藤田田,ふじたでん
517,主にヘヴィメタルやハードコアのライブで見られる、演奏される曲に合わせて頭を激しく上下に振る動作を英語で何というでしょう？,ヘッドバンギング,ヘッドバンギング
518,印刷された絵などを切り抜いて様々な素材に貼り付ける手芸の技法のことを「切り抜き」という意味のフランス語で何というでしょう？,デコパージュ,デコパージュ
519,韓国では国花になっており国章にも描かれている、宗元、大徳寺一重、夏空などの園芸品種があるアオイ科の植物は何でしょう？,ムクゲ,ムクゲ
520,マリー・アントワネットの愛犬でもあった、耳の形が羽を広げた蝶のようであることからフランス語で「蝶」を意味する名前が付けられた小型犬の犬種は何でしょう？,パピヨン,パピヨン
521,タカラトミーのボードゲーム「人生ゲーム」のルーレットは通常1からいくつまでの数字があるでしょう？,10,10
522,その鱗茎に毒があることから、かつては土葬した死体を動物に荒らされないように墓地の周りに植えられていた、「曼珠沙華」という別名がある秋に咲く花は何でしょう？,ヒガンバナ,ヒガンバナ
523,包丁で切る必要がないことから「きらず」とも、また見た目の白さをウツギの花にたとえて「卯の花」とも呼ばれる、豆乳を搾った際に残る搾りカスのことを女房言葉で何というでしょう？,おから,おから
524,年若く経験が乏しいことを、ひな鳥にたとえて「何が黄色い」というでしょう？,くちばしが黄色い,くちばし
525,日本でタクシーなどを運転するのに必要な、第二種運転免許を取得できるのは何歳からでしょう？,21歳,21
526,アメリカの首都ワシントンD.C.の「C」とは、何という言葉の略でしょう？,コロンビア,コロンビア
527,蒸留水に塩化ナトリウム、塩化カリウム、塩化カルシウムなどを加えて作られる、救急時に血液の代用液として注射するといった用途がある生理食塩水の一種を、それを開発したイギリスの医学者の名のドイツ語読みを用いて何液というでしょう？,リンゲル液,リンゲル
528,「万物の根源は火である」と唱え、「万物は流転する」という概念を生み出したとされる古代ギリシャの哲学者は誰でしょう？,ヘラクレイトス,ヘラクレイトス
529,富士五湖のうち最も湖面標高が高く、面積も最も大きい湖は何湖でしょう？,山中湖,やまなか
530,江戸時代の蘭学者・平賀源内が復元したことで知られる、木箱の中のガラス筒を回転させ摩擦により静電気を発生させる機械を何というでしょう？,エレキテル,エレキテル
531,ジュール・ヴェルヌの小説『海底二万里』で、潜水艦ノーチラス号を建造し艦長を務めている謎の人物は「何船長」でしょう？,ネモ船長,ネモ
532,本名をアレッサンドロ・ディ・マリアーノ・フィリペーピという、代表作に『春』『ヴィーナスの誕生』がある、ルネサンス期を代表するイタリアの画家は誰でしょう？,サンドロ・ボッティチェリ,ボッティチェリ
533,ハンバーガーに使うバンズのうち上になる部分のことを、「冠」を意味する英語で何というでしょう？,クラウン,クラウン
534,以前はアイドルグループ「ももいろクローバー」の一員として活動していた、映画『百瀬、こっちを向いて。』やドラマ『ラーメン大好き小泉さん』などで主演を務めた女優は誰でしょう？,早見あかり,はやみあかり
535,アメリカの首都が現在のワシントンD.C.に移される直前の1800年まで同国の首都であった、ペンシルベニア州最大の都市といえばどこでしょう？,フィラデルフィア,フィラデルフィア
536,タロットカードは、大アルカナ・小アルカナ合わせて1セット何枚からなるでしょう？,78枚,78
537,小豆を入れたおかゆのことを、その色がある花の色に似ていることから何というでしょう？,桜粥,さくらがゆ
538,凸版印刷とともに日本の二大印刷会社といわれる、略称を「DNP」とする企業はどこでしょう？,大日本印刷株式会社,だいにっぽんいんさつ
539,日本農林規格が定めたウスターソース類の分類で、「ウスターソース」より粘度が高く、「濃厚ソース」より粘度が低いものを何ソースというでしょう？,中濃ソース,ちゅうのう
540,"オーストラリア北部のカーペンタリア湾付近で特によく観測される、朝方を中心に現れ、最大で長さ1,000kmに達する巨大なロール状の雲の帯のことを何というでしょう？",モーニング・グローリー,モーニンググローリー
541,現地の言葉で「美しい牧場」という意味がある、中国・新疆ウイグル自治区の首府はどこでしょう？,ウルムチ市,ウルムチ
542,大阪府側からの峠道には自動車が通れる国道としては日本一の急勾配といわれる坂がある、大阪府東大阪市と奈良県生駒市の境にある峠は何でしょう？,暗峠,くらがり
543,アルファベットの6点式点字を開発したフランスの全盲の教育者は誰でしょう？,ルイ・ブライユ,ブライユ
544,父に小説家の夏樹を持ち、エッセイストとしての活動も行っている、アニメ『金田一少年の事件簿』の金田一二三、『ケロロ軍曹』の西澤桃華、『爆走兄弟レッツ&amp;ゴー！！』の星馬豪などの役を演じた声優は誰でしょう？,池澤春菜,いけざわはるな
545,チョウチンアンコウなどに見られる、メスに比べて著しく小さいオスのことを漢字2字で何というでしょう？,矮雄,わいゆう
546,アニメ『ちびまる子ちゃん』に登場する、まるこの姉の名前は「さくら何」でしょう？,さきこ,さきこ
547,ハモやアイナメなどの小骨が多い魚を調理する際に欠かせない、開いた身の方から皮だけは切らないように細かく包丁を入れる下処理のことを何というでしょう？,骨切り,ほねきり
548,1998年に小説『果つる底なき』でデビューし、2011年『下町ロケット』で直木賞を受賞した、半沢直樹シリーズで知られる作家は誰でしょう？,池井戸潤,いけいどじゅん
549,1930年に日本でスイカから発見され、2007年の食薬区分改正によってドリンクやサプリメントに配合できるようになったアミノ酸は何でしょう？,シトルリン,シトルリン
550,日本語では「可変幅フォント」という、印刷やグラフィックにおいて文字の形状に合わせて文字幅が異なっているフォントのことを英語で「何フォント」というでしょう？,プロポーショナルフォント,プロポーショナル
551,これをもって東西冷戦が終結したとされる1989年に行われた米ソ首脳会談を、開催された地中海の地名から何会談というでしょう？,マルタ会談,マルタ
552,1922年にエジプトの王家の谷でミイラが発見された、古代エジプト第18王朝の王は誰でしょう？,ツタンカーメン,ツタンカーメン
553,かつて花を挿していたことからこの名が付いた、現在では社章やバッジを付けるために使われることが多い、ジャケットの襟に開けられた穴を何と呼ぶでしょう？,フラワーホール,フラワーホール
554,ラテン語で「豚とイノシシから生まれた子孫」を意味する言葉に由来する、異なる2種の動物や植物から生まれた子孫や、異種の技術を組み合わせた製品を指す言葉は何でしょう？,ハイブリッド,ハイブリッド
555,じゃんけんによく似た遊び「狐拳」において、狐に負けて猟師に勝つのは何という職業でしょう？,庄屋,しょうや
556,BMW社製自動車の特徴である、車体前面についた「日」の字を横倒しにしたような外見の吸気口部分を、その形から「腎臓」を意味する言葉を使って何と呼ぶでしょう？,キドニーグリル,キドニーグリル
557,特に弁護士のものが知られる、専門家がその技術や経験を活かして行うボランティア活動のことを、ラテン語に由来する言葉で何というでしょう？,プロボノ,プロボノ
558,オペラ『鼻』や交響曲第7番『レニングラード』、交響曲第5番『革命』などで知られる、ソビエト時代に活躍したロシアの作曲家は誰でしょう？,ドミートリイ・ショスタコーヴィチ,ショスタコーヴィチ
559,西暦の年月日からその日が何曜日であるかを算出する公式を、考案者であるドイツの数学者の名をとって何の公式というでしょう？,ツェラーの公式,ツェラー
560,本名を岡田昇という、かつて『ギルガメッシュないと』のレギュラーとして人気を博した、乃木坂46の冠番組である『NOGIBINGO!』において番組MCを務めているタレントは誰でしょう？,イジリー岡田,イジリーおかだ
561,かつては「ウンウンオクチウム」と呼ばれ、原子番号は現在知られている元素の中で最も大きい118番である、元素記号Ogの元素は何でしょう？,オガネソン,オガネソン
562,東京都港区にある坂にその名を残す、明治天皇大葬に合わせて妻・静子とともに自ら命を絶った、帝国陸軍陸軍大将を務めた人物は誰でしょう？,乃木希典,のぎまれすけ
563,元素記号がアルファベット1文字で表される元素の中で、最も原子番号が大きいものは何でしょう？,ウラン,ウラン
564,キャッチフレーズを「ねたての都市」としている、アメリカ軍の普天間飛行場があることで知られる沖縄県の都市はどこでしょう？,宜野湾市,ぎのわん
565,「高楼の下」という意味の言葉で、ローマ教皇に対して日本政府が用いる敬称は何でしょう？,台下,だいか
566,1869年に設置され、初代長官を鍋島直正が務めた、明治時代に北海道や樺太の行政などを司った官庁は何でしょう？,開拓使,かいたくし
567,札幌のものは宮の沢駅と新さっぽろ駅、仙台のものは八木山動物公園駅と荒井駅、京都のものは六地蔵駅と太秦天神川駅、東京のものは中野駅と西船橋駅を結んでいる地下鉄の路線名は何線でしょう？,東西線,とうざい
568,江戸時代に禅海という僧侶を中心として30年がかりで掘削され、菊池寛の小説『恩讐の彼方に』のモチーフとなったことでも知られる、大分県中津市にある隧道を一般に何というでしょう？,青の洞門,あおのどうもん
569,現在、大蔵流と和泉流という2つの流派が活動している日本の伝統芸能は何でしょう？,狂言,きょうげん
570,陸上の男子十種競技の原則的な日程で、最初に行われる種目は100m競走ですが、最後に行われる種目は何でしょう？,1500m競走,1500m
571,感嘆符の「！」を、「絶叫」を意味する英語で何マークというでしょう？,エクスクラメーションマーク,エクスクラメーション
572,競馬で、日本ダービーは東京競馬場で開催されますが、東京ダービーは何競馬場で開催されるでしょう？,大井競馬場,おおい
573,714と715のように、それぞれの素因数の和が等しい連続する自然数の組のことを、「714」と「715」に関連する2人の野球選手の名前から「何・ペア」というでしょう？,ルース＝アーロン・ペア,ルースアーロン
574,ロシア語で「東方を支配する町」を意味する、シベリア鉄道の東の始発駅があるロシアの都市はどこでしょう？,ウラジオストク,ウラジオストク
575,英語では「glottis」という、左右の声帯と、その間にある隙間をまとめて日本語で何というでしょう？,声門,せいもん
576,社会基盤となる施設や制度を表す「インフラ」とは、何という英単語を略したものでしょう？,インフラストラクチャ,インフラストラクチャ
577,モールス符号で打電する「SOS」に代わり、現在使われる遭難信号のことを、「助けに来て」という意味のフランス語に由来する言葉で何というでしょう？,メーデー,メーデー
578,2番目の妻に夏目雅子、現在の妻に篠ひろ子を持つ、代表作に直木賞受賞作『受け月』がある作家は誰でしょう？,伊集院静,いじゅういんしずか
579,その呼称は「数字は独身に限る」の略である、9×9のマス目に1〜9までの数字を1つずつ入れて解くパズルの一種は何でしょう？,数独,すうどく
580,預言者ムハンマドの娘ファーティマを妻とした、イスラム教の第4代正統カリフで、シーア派においては初代イマームとされている人物は誰でしょう？,アリー（・イブン・アビー・ターリブ）,アリー
581,フランス語で「25歳」という意味がある、主に富裕層の女性を対象に、ハースト婦人画報社が毎月発行しているファッション誌は何でしょう？,『25ans』,ヴァンサンカン
582,簿記資格の1つで、全国商業高等学校協会が実施している「簿記実務検定試験」のことを、漢字4文字で一般に何と略すでしょう？,全商簿記,せんしょうぼき
583,第一次世界大戦でイギリス軍が塹壕で着用したことからその名が付いた、「エポレット」という肩飾りのあるベルト付きのダブルのコートを何コートというでしょう？,トレンチコート,トレンチ
584,競泳の個人メドレーの最初の泳法は何でしょう？,バタフライ,バタフライ
585,樺太が島であることを確認し、樺太とロシアを隔てる海峡にも名を残す江戸時代後期の探検家は誰でしょう？,間宮林蔵,まみやりんぞう
586,教師が生徒に期待しないことによりその生徒の成績が悪化するなど、悪い印象が実際に悪い影響をもたらすという心理的効果のことを、ユダヤ教の伝承に登場する泥人形の名前を使った心理学用語で「何効果」というでしょう？,ゴーレム効果,ゴーレム
587,ノーベル生理学・医学賞の選考を主催していることでも知られる、スウェーデンのストックホルムにある世界最大規模の医学系教育・研究機関を何研究所というでしょう？,カロリンスカ研究所,カロリンスカ
588,今治城や伊賀上野城などを手がけた築城の名人として知られる、伊勢・津藩の初代藩主などを務めた戦国大名は誰でしょう？,藤堂高虎,とうどうたかとら
589,豊臣秀吉が築いた「名護屋城」があったのは、現在のどこの都道府県でしょう？,佐賀県,さが
590,ガチョウは何という鳥を飼いならして家畜化したものでしょう？,ガン,ガン
591,小説『ジキル博士とハイド氏』『宝島』などの作品で知られるイギリスの作家は誰でしょう？,ロバート・ルイス・スティーヴンソン,スティーヴンソン
592,体の部分の「みぞおち」を漢字で書いた時に出てくる鳥の名前は何でしょう？,鳩,はと
593,国際金融・為替相場の安定化を目的に設立された「国際通貨基金」のことを、その英語名称を略したアルファベット3文字の通称で何と呼ぶでしょう？,IMF,IMF
594,男児が母親に対して独占的な愛情を抱き、父親に対して強い対抗心を抱く心理状態を、ギリシャ神話に登場する王子の名前を使って何コンプレックスというでしょう？,エディプスコンプレックス,エディプス
595,アメリカのMLBの球団のうち、過去に日本人が所属した経験がない唯一の球団はどこでしょう？,シンシナティ・レッズ,シンシナティレッズ
596,自動車が水の溜まった路面を走行中に、タイヤと路面の間に水が入り込んでハンドルやブレーキが利きにくくなる現象のことを、英語で何現象というでしょう？,ハイドロプレーニング現象,ハイドロプレーニング
597,英語で「樽」を意味する、主に石油の体積を表す際に用いられる単位は何でしょう？,バレル,バレル
598,建築家のクリストファー・レンによって再建された、アレクサンダー・フレミングやネルソン提督の遺骨が納められている、イギリスにある大聖堂は何でしょう？,セント・ポール大聖堂,セントポール
599,「披露する前に現象を説明してはならない」「繰り返してはならない」「種明かしをしてはならない」というマジックを披露する時の3つの心構えのことを、アメリカのマジシャンの名前から何の三原則というでしょう？,サーストンの三原則,サーストン
600,ボクシングの戦術の1つで、相手と距離を保ちながら、相手の動きを見極めてチャンスを伺う戦法のことを、近距離攻撃を主体とする「インファイト」に対して何というでしょう？,アウトボクシング,アウトボクシング
601,スキージャンプにおいて、着地姿勢の理想とされる両腕を水平にして両足を前後に開いた姿勢を、競技発祥の地にちなんで何というでしょう？,テレマーク,テレマーク
602,日本の小説家・太宰治の本名は何でしょう？,津島修治,つしましゅうじ
603,法政大学の市ヶ谷キャンパスにあるタワーに名を冠している、明治時代にお雇い外国人として来日し、刑法をはじめとする国内法の整備に尽力したことから「日本近代法の父」と称されるフランスの法学者は誰でしょう？,ギュスターヴ・ボアソナード,ボアソナード
604,将棋の格言で、3枚あれば「詰まぬことなし」といわれる駒は何でしょう？,桂,けい
605,「静岡おでん」の具としても親しまれている、新鮮なイワシやサバなどの魚を骨や皮ごとすり身にして茹であげる静岡県中部の郷土料理を、ある色を使って何というでしょう？,黒はんぺん,くろはんぺん
606,手塚治虫の漫画『ブラック・ジャック』の主人公であるブラック・ジャックの本名は何でしょう？,間黒男,はざまくろお
607,1911年に始まった、清朝が倒され中華民国が樹立された民主主義革命を、干支を表す漢字を用いて何革命というでしょう？,辛亥革命,しんがい
608,かつて「ルイ15世広場」や「革命広場」などの名前で呼ばれていた、フランス・パリのシャンゼリゼ通りの東の起点となっている広場は何広場でしょう？,コンコルド広場,コンコルド
609,書店に行った際に突如便意を催す現象を、この現象について雑誌『本の雑誌』に投稿した女性の名前から何現象というでしょう？,青木まりこ現象,あおきまりこ
610,京都の三大漬物の1つに数えられる、聖護院かぶを薄く切って昆布や塩、酢などで漬けた、冬に旬を迎える漬物は何でしょう？,千枚漬け,せんまいづけ
611,相手の態度に応じて自らの態度も決まるということを「魚心あれば何」というでしょう？,水心,みずごころ
612,日本の政令指定都市のうち、最も人口が多いのはどこでしょう？,横浜市,よこはま
613,日本の農林水産省が算出する2種類の総合食料自給率とは、「生産額ベース」と「何ベース」の総合食料自給率でしょう？,カロリーベース,カロリー
614,急激な血圧の変化を吸収する役割を持つ、キリン科の動物の後頭部にある網目状の毛細血管を英語で何というでしょう？,ワンダーネット,ワンダーネット
615,『東海道中膝栗毛』には「五文どり」として登場する、きな粉を使った静岡市の名物和菓子は何でしょう？,安倍川餅,あべかわもち
616,日本がポツダム宣言を受諾した時の内閣総理大臣は誰だったでしょう？,鈴木貫太郎,すずきかんたろう
617,サッカードと呼ばれる眼球運動によって引き起こされる、アナログ時計に目を向けた時に秒針が長く止まって見える現象を英語で何というでしょう？,クロノスタシス,クロノスタシス
618,フェンシング用語として使われるフランス語で、1歩後ろへ下がることを何というでしょう？,ロンペ,ロンペ
619,日本では、日本大学と加計学園系列2校の計3校に設置されている、安全で平和な社会を実現する人材を育成するための学部は何学部でしょう？,危機管理学部,ききかんり
620,国旗の中央に「スレイマンの星」と呼ばれる緑色の星が描かれている、首都をラバトに置くアフリカの国はどこでしょう？,モロッコ,モロッコ
