,ques,ans
398,ウラン鉱石からウランを精製する過程で生じる、数十%のウランとその他の不純物を含む化合物のことを、一般にその色合いから何というでしょう？,イエローケーキ
399,初代三遊亭圓遊が寄席で踊っていた踊りの名に由来する、裾が股より長く膝下丈まであるズボン下を何というでしょう？,ステテコ
400,アメリカンフットボールで、オフェンス側が攻撃権を保つためには4回の攻撃の間に何ヤード以上進まなければならないでしょう？,10ヤード
401,札幌のものは麻生駅と真駒内駅、仙台のものは泉中央駅と富沢駅、東京メトロのものは目黒駅と赤羽岩淵駅を結んでいる地下鉄の路線名は何線でしょう？,南北線
402,沖縄県那覇市にある、鉄道駅として日本最西端に位置する「ゆいレール」の駅は何駅でしょう？,那覇空港駅
403,「春の山のうしろから烟が出だした」「咳をしても一人」などの作品を残し、自由律俳句の代表的俳人として種田山頭火と並び称されたのは誰でしょう？,尾崎放哉
404,ハーバード大学、イェール大学、プリンストン大学など8校からなる、アメリカ北東部に位置する名門私立大学群のことを、一般に総称して何というでしょう？,アイビーリーグ
405,ヨーロッパの大河・ドナウ川が注いでいるのは何という内海でしょう？,黒海
406,直木賞作家の色川武大（阿佐田哲也）も罹患していた、日中に突然強い眠気に襲われ眠ってしまうといった発作を引き起こす睡眠障害を、フランス語由来の言葉で何というでしょう？,ナルコレプシー
407,裁縫道具の「指貫」は、通常どの指にはめて使うものでしょう？,中指
408,集団における支配者になることを、ある動物の体の一部を使った慣用句で「何を執る」というでしょう？,牛耳を執る
409,2017年に独立を一方的に宣言した、州都をバルセロナに置くスペインの州は何州でしょう？,カタルーニャ州
410,「千早振る神無月ももはや跡二日の余波となった二十八日の午後三時頃に」という書き出しで始まる、言文一致文学の先駆けとされる二葉亭四迷の小説は何でしょう？,『浮雲』
411,小児科医の馬場実によって提唱された、乳児期のアレルギー反応を引き金に、成長に応じて喘息や皮膚炎、鼻炎など異なるアレルギー性の症状が次々と現れることを指す言葉は何でしょう？,アレルギーマーチ
412,早朝のル・アーヴルの港が描かれた、フランスで起きた芸術運動「印象派」の由来にもなったクロード・モネの絵画作品は何でしょう？,『印象・日の出』
413,呼吸や脈拍、血圧などの複数の生理現象を同時に計測・記録する装置の総称で、特に「ウソ発見器」としての用法が知られるもののことを、「多く書くこと」を意味するギリシャ語に由来する言葉で何というでしょう？,ポリグラフ
414,陸上の短距離走で行われる「クラウチングスタート」は、元々どんな動物の姿勢をヒントに考案されたものでしょう？,カンガルー
415,小さい頃は「セイゴ」「フッコ」などと呼ばれる出世魚は何でしょう？,スズキ
416,イットリウム、テルビウム、エルビウム、イッテルビウムは、いずれもスウェーデンの何という村にちなんで名付けられた元素でしょう？,イッテルビー村
417,19世紀中頃に葉枯病の影響で主食のジャガイモが枯死し、一説には100万人前後が死亡、200万人前後が島外へ移住したとされる、当時全域がイギリス領だった島は何島でしょう？,アイルランド島
418,「洗車し始めると雨が降る」など失敗に関するユーモラスな経験則をまとめたものを、アメリカ軍のエンジニアだった人物の名前から「何の法則」というでしょう？,マーフィーの法則
419,単体が常温・常圧で液体となる2つの元素とは、水銀と何でしょう？,臭素
420,テニスで、シングルスではアウトになるがダブルスではインと判定される、コートの両端にある細長い区域を英語で何というでしょう？,アレー
421,一般には「アスピリン」の薬品名で呼ばれる、鎮痛や解熱などの作用を持つ物質を「何酸」というでしょう？,アセチルサリチル酸
422,第一次世界大戦後にフランスがドイツとの国境を中心に築いた防衛線を、当時のフランス陸軍大臣の名前から「何線」というでしょう？,マジノ線
423,東海市は愛知県にある自治体ですが、西海市はどこの都道府県にある自治体でしょう？,長崎県
424,1951年9月に日本の民間放送では初となるラジオ放送を開始した、「CBC」という略称で知られる放送局は何でしょう？,中部日本放送
425,宮城県・福島県・埼玉県が共通して県の木に指定しているのは何の木でしょう？,ケヤキ
426,1903年にキュリー夫妻とともにノーベル物理学賞を受賞している、「放射性物質が1秒間に崩壊する原子の個数」を表す単位に名を残す物理学者は誰でしょう？,アンリ・ベクレル
427,「絵本の魔術師」とも呼ばれ、代表作に『1、2、,どうぶつえんへ』や『はらぺこあおむし』などがあるアメリカの絵本作家は誰でしょう？34エリック・カール
428,ノーベル物理学賞を受賞したキュリー夫妻で、夫のピエールはフランス出身ですが、妻のマリーは現在のどこの国の出身でしょう？,ポーランド共和国
429,「キース・フラック結節」とも呼ばれる、心臓収縮のペースメーカーの役割を担う部位を何というでしょう？,洞房結節
430,日焼けで皮膚が赤く炎症になることを英語で何というでしょう？,サンバーン
431,1244年に道元が開山した、曹洞宗の大本山の1つである福井県の寺院は何でしょう？,永平寺
432,沖縄県にある島のうち、面積が沖縄本島に次いで2番目に広い島といえばどこでしょう？,西表島
433,日本では2001年に始まった「個人型確定拠出年金」のことを、アルファベット5文字の愛称で何というでしょう？,iDeCo
434,考案したドイツの選手の名前から「ケンパ・トリック」ともいう、ハンドボールで、宙に跳んで浮いている間にパスを受け、そのままシュートすることを何というでしょう？,スカイプレー
435,旧社名を富士製麺といった、即席麺の「サッポロ一番」シリーズの製造元である加工食品メーカーは何食品でしょう？,サンヨー食品
436,日本で、同一市区町村内で住所が変わった時に自治体に届け出るのは何届でしょう？,転居届
437,女優の若尾文子を妻に持ち、2007年には共生新党を設立して東京都知事選挙に立候補した、沖縄県庁舎や国立新美術館を設計した建築家は誰でしょう？,黒川紀章
438,正三角形の各辺を膨らませたような、ロータリーエンジンや掃除用ロボットにも応用されている定幅図形を、考案した機械工学者の名前から「何の三角形」というでしょう？,ルーローの三角形
439,ポルトガルのマデイラ諸島発祥で、現在はハワイ名物として親しまれている、パン生地を油で揚げ、グラニュー糖をまぶして作られる菓子は何でしょう？,マラサダ
440,その名は原産地とされる現在のドイツ・ポーランド国境付近のバルト海沿いの地方名に由来し、イギリスに持ち込まれた小型の個体がビクトリア女王に愛され、現在は小型の愛玩犬として知られるスピッツ属の犬種は何でしょう？,ポメラニアン
441,映画『ダイ・ハード』シリーズで、ブルース・ウィリス演じる主人公の名前は「ジョン・何」でしょう？,ジョン・マクレーン
442,預言者ムハンマドの娘ファーティマを妻とした、イスラム教の第4代正統カリフで、シーア派においては初代イマームとされている人物は誰でしょう？,アリー（・イブン・アビー・ターリブ）
443,船のすべての部品を入れ替えた時、その船は入れ替える前の船と同じであるといえるのか、というパラドックスの問題を「何の船のパラドックス」というでしょう？,テセウス
444,1947年以降ヒベルト・クムラン遺跡などで相次いで発見された、紀元前に書かれた旧約聖書の写本の断片などを含むユダヤ教関連の古文書を、付近にある湖の名をとった総称で何文書というでしょう？,死海文書
445,複利でお金を預ける時、預けたお金が何年で元の2倍になるかを概算できるという法則のことを、ある数字を用いて何の法則というでしょう？,72の法則
446,2017年に桐生祥秀に更新されるまで19年にわたり、10秒00という100m走の日本記録を保持していた元陸上選手は誰でしょう？,伊東浩司
447,イギリスのアマチュア科学者ヘンリー・ピディントンが命名した、インド洋上に発生する熱帯性低気圧を特に何というでしょう？,サイクロン
448,ヘリウム、ネオン、アルゴンなど、元素周期表で第18族に属する化学的に安定かつ不活性な性質を持つ7つの元素を総称して何というでしょう？,希ガス／貴ガス
449,日本の村の中で人口が最も多い、音楽グループ・Kiroroや初代沖縄県知事・屋良朝苗の出身地である沖縄県の村はどこでしょう？,読谷村
450,ビッグリップとともに宇宙の終焉についての仮説である、宇宙にあるすべての物質が収縮して無次元の特異点に収束するという説のことを何というでしょう？,ビッグクランチ
451,ホタルイカは何科に属する動物でしょう？,ホタルイカモドキ科
452,古代朝鮮半島のいわゆる「三韓」とは、馬韓・弁韓と何でしょう？,辰韓
453,宮内庁によって「大市墓」と治定されている古墳で、邪馬台国・卑弥呼の墓という説もある、奈良県にある古墳は何古墳でしょう？,箸墓古墳
454,直木賞史上初の平成生まれの受賞者で、男性では最年少の記録を持つ、第148回直木賞を『何者』で受賞した作家は誰でしょう？,朝井リョウ
455,防衛大学校は神奈川県にありますが、防衛医科大学校はどこの都道府県にあるでしょう？,埼玉県
456,1572年8月24日にユグノー戦争のさなかのフランスで起きた、パリに集まった新教徒たちを旧教徒が急襲して大量虐殺を行った事件のことを、その日があるキリスト教の聖人の祭日であったことから何の虐殺というでしょう？,サン・バルテルミの虐殺
457,株式会社スクワッドが2004年に創刊し現在は週3回発行している、ピンク色の紙面が特徴的なサッカー専門の新聞は何でしょう？,『エル・ゴラッソ』
458,アメリカの三大自動車メーカーといえば、ゼネラルモーターズ、フォードモーターと、あと1つは何でしょう？,クライスラー
459,国語辞典の『広辞林』や『大辞林』『新明解国語辞典』を発行している出版社はどこでしょう？,三省堂
460,チーズの生産国のうち、エダムチーズやゴーダチーズの発祥地であるのはどこでしょう？,オランダ
461,市内に「焼きうどん発祥の地」を称する街・小倉があるのは何市でしょう？,北九州市
462,「八十八夜」や「二百十日」の起算日となっている、二十四節気の1つは何でしょう？,立春
463,記号「Ht」で表される、血液中の赤血球の容積をパーセントで表した値を何値というでしょう？,ヘマトクリット値
464,関ヶ原の戦いでは眼を病んでいたため輿に乗って参戦したとされ、またその開戦前には親友の石田三成に挙兵しないよう諫めたという逸話がある、越前敦賀城主を務めた戦国武将は誰でしょう？,大谷吉継
465,星取表では「△」で表記される、大相撲で一方の力士が取組中に負傷して続行が不可能になった場合に引き分けとする判定を何というでしょう？,痛み分け
466,理想気体においては「PV,=
467,nRT」で表される、気体の圧力、体積、温度を関連付ける数式を気体の何方程式というでしょう？,状態方程式
468,古代ギリシャ語で「花集め」を意味する言葉を語源とする英語で、主に異なる作者による複数の文学作品を集めた作品集を指すことが多い言葉は何でしょう？,アンソロジー
469,第1回は富士天神山スキー場、1999年以降は苗場スキー場を会場としている、毎年夏に開催される日本最大規模の野外音楽イベントは「何フェスティバル」でしょう？,フジロックフェスティバル
470,俗に「オケピ」と略されることもある、主にバレエやオペラなどの楽器演奏を伴う舞台において、客席とステージとの間に設けられる演奏用のスペースを指す言葉は何でしょう？,オーケストラピット
471,フランス語で「国家への一撃」という意味がある、武力などの非合法な手段で政権を奪うことを何というでしょう？,クーデター
472,人間の臓器のうち、消化液やインスリンなどのホルモンを分泌するものは何でしょう？,膵臓
473,競泳で、スタート後に潜水で進んでいい距離は何m以内と定められているでしょう？,15
474,麻雀で、誰も和了らずにその局が終わることを何というでしょう？,流局
475,野球用語の「ゴロ」は元々何という英語が転じてできた言葉でしょう？,グラウンダー
476,英語では「人参と棒」を意味する言葉で呼ばれ、ドイツ帝国の宰相ビスマルクがとった政策を評した言葉がその最初とされる、厳しい弾圧と譲歩を併用することを意味する慣用句を日本語では何というでしょう？,飴と鞭
477,卒業生にサッカー選手の今野泰幸、プロ野球選手のダルビッシュ有、フィギュアスケーターの羽生結弦などがいる、宮城県仙台市にある私立高校はどこでしょう？,東北高校
478,アメリカの二大政党の1つ「共和党」のシンボルマークとなっている動物は何でしょう？,ゾウ
479,関門海峡の「門」の由来である、現在は福岡県北九州市の区の名前になっている地名は何でしょう？,門司
480,海外の人気ファッションブランドで、ジョルジオ・アルマーニ、グッチ、フェラガモといえばどこの国のファッションブランドでしょう？,イタリア
481,高校野球の優勝旗のうち、いわゆる夏の甲子園のものをその色から通称「何の優勝旗」というでしょう？,深紅の優勝旗
482,酒、タバコ、コーヒーなど、風味や味を楽しむために摂取されるものを総称して何品というでしょう？,嗜好品
483,ゴルフクラブの3番ウッドのことを、そのヘッドの形状がある食器に似ていたことから何というでしょう？,スプーン
484,イタリア語で「小さい」という意味を持つ、フルートの派生楽器は何でしょう？,ピッコロ
485,「細長い布」を意味する、インドなど南アジア地域の女性が着用する民族衣装は何でしょう？,サリー
486,「二兎を追う者は一兎をも得ず」と同じ意味のことわざで、虫へんの漢字を2つ使って「何取らず」というでしょう？,虻蜂取らず
487,ディズニーアニメ『ミッキーの陽気な囚人』でデビューした、ミッキーマウスのペットの犬の名前は何でしょう？,プルート
488,大相撲で関取衆が土俵入りする際に着用する、金銀の刺繍などを施した前垂れが付いた儀式用のまわしを何というでしょう？,化粧まわし
489,第二次世界大戦の沖縄戦で多数の犠牲を出した沖縄師範学校女子部と第一高等女学校による学徒隊を弔った、沖縄陸軍病院第三外科の壕跡に立つ慰霊碑のことを、その学徒隊の通称から「何の塔」というでしょう？,ひめゆりの塔
490,オーストラリアの先住民のことを「アボリジニ」といいますが、ニュージーランドの先住民のことを何というでしょう？,マオリ
491,スコットランド民謡『オールド・ラング・サイン』を原曲とする、日本では『NHK紅白歌合戦』のエンディング曲などでお馴染みの、稲垣千穎作詞の唱歌のタイトルは何でしょう？,『蛍の光』
492,ボウリングで、フレームの1投目にヘッドピンが倒れ、残りの2本以上のピンが隣接しない状態で残ることを何というでしょう？,スプリット
493,中世ヨーロッパにおいて、都市の商工業者間に結成された職業別組合を何というでしょう？,ギルド
494,一般的な自動車の燃料計で、「F」は「フル」の略ですが、「E」は何という英語の略でしょう？,エンプティ
495,自身の代表曲に『高気圧ガール』『RIDE ON TIME』『クリスマス・イブ』などがあり、妻の竹内まりやなど多くのアーティストに楽曲提供をしていることでも知られるミュージシャンは誰でしょう？,山下達郎
496,アメリカのマサチューセッツ工科大学のことを、アルファベット3文字の略称で何というでしょう？,MIT
497,女声3部合唱におけるソプラノとアルトの中間の声域のことを、「中間」を意味するイタリア語を使って一般に何というでしょう？,メゾソプラノ
498,ホトトギスやカッコウなどに見られる、繁殖の時の巣作りや子育てを自分で行わず、他の鳥に任せる習性のことを何というでしょう？,托卵
499,映像や音声に人間が自動的に知覚できない情報を含めることで、情報を受け取るの潜在意識に影響を及ぼすとされている効果を、「潜在意識の」という意味の英語を使って何効果というでしょう？,サブリミナル効果
500,香港の観光名所アベニュー・オブ・スターズにはこの人物の銅像がある、『ドラゴン危機一発』や『燃えよドラゴン』などに主演し、世界的なカンフーブームの立役者となった香港のアクションスターは誰でしょう？,ブルース・リー
501,最期は自宅であるダコタ・ハウスの前でマーク・チャップマンに射殺された、イギリスのロックバンド・ビートルズのメンバーは誰でしょう？,ジョン・レノン
502,かつては「石畳」や「霰」とも呼ばれ、2020年東京オリンピック・パラリンピックのエンブレムのモチーフにもなっている、2色の四角形を交互に配した模様を、江戸中期の歌舞伎役者の名前から何模様というでしょう？,市松模様
503,日本の都道府県で、1937年に日本初のプラネタリウムが設置されたのはどこでしょう？,大阪府
504,NHKで放送されていた『週刊こどもニュース』では初代お父さん役としてキャスターを務めていた、現在は報道番組や選挙特番での分かりやすいニュース解説で知られるフリージャーナリストは誰でしょう？,池上彰
505,「袖」「裾」「裕」「補」といった漢字に共通する部首は何でしょう？,ころもへん
506,ボクシングにおいて、相手の攻撃ではなく足がもつれるなどして倒れることを、ノックダウンに対して何ダウンというでしょう？,スリップダウン
507,エレベーターなどで屋上を表す「R」は何という英単語の略でしょう？,ルーフ
508,通勤ラッシュの電車内など、すき間なく混雑した様子のことを、ある食べ物にたとえて何詰めというでしょう？,すし詰め
509,気象庁が発表する情報で、注意報、警報よりもさらに警戒すべき度合いが高い、数十年に1度の甚大な被害が予想される気象現象について発令されるものを何というでしょう？,特別警報
510,日本語では「高精細度マルチメディアインターフェース」という、テレビやHDDレコーダーなどの間でケーブルを介して映像や音声をデジタル信号で伝送するための標準規格を、アルファベット4文字の略称で何というでしょう？,HDMI
511,元々は一人前の特に立派な男子を指す言葉で、転じて、しっかりしている状態、問題ない状態などを指す言葉は何でしょう？,大丈夫
512,1976年の第1回ホリプロタレントスカウトキャラバンでグランプリを受賞したタレントで、息子に俳優の渡辺裕太、夫に同じく俳優の渡辺徹がいるのは誰でしょう？,榊原郁恵
513,2004年にシングル『Level42』でメジャーデビューし、代表作に『A winter fairy is melting a snowman』や『Butterfly』がある、夫に俳優の瑛太を持つ歌手は誰でしょう？,木村カエラ
514,英語では「ケトルドラム」などという、音程の異なる複数台を1組としてオーケストラなどで使用される打楽器を一般に何というでしょう？,ティンパニ
515,英語で「すすぐ」という意味がある、洗髪後に髪の表面をコーティングしてキューティクルを保護するために使うヘアケア用品は何でしょう？,リンス
516,将棋の駒のうち、チェスのルークと基本的に同じ動きをするのは何でしょう？,飛
517,元メジャーリーガーの野茂英雄が、日本のプロ野球で選手として在籍していた球団はどこでしょう？,近鉄バファローズ
518,野球で、「DH」は指名打者のことですが、「PH」は日本語でいう何のことでしょう？,代打
519,「ハイオクガソリン」の「オク」はこの言葉の略である、ガソリンにおいてエンジン内のノッキングの起こりにくさなどを示す数値のことを「何価」というでしょう？,オクタン価
520,平たい容器に薄く張った牛乳に1滴の雫を落とした時に、落下点を中心に美しい形状の跳ね上がりが生じる現象のことを、それがある装飾品に似ていることから一般に何というでしょう？,ミルククラウン
521,日本では1974年に熱海駅に設置されたものが最初である、鉄道駅のホームに設置される可動式の開口部を持った仕切りを和製英語で何というでしょう？,ホームドア
522,コロイド溶液に光を当てた時、微小な粒子が光を散乱するために光の通路が輝いて見える現象を、これを発見したイギリスの物理学者の名をとって何現象というでしょう？,チンダル現象
523,駄目、布石、八百長などの慣用句は、いずれも何というゲームから生まれた言葉でしょう？,囲碁
524,主にヘヴィメタルやハードコアのライブで見られる、演奏される曲に合わせて頭を激しく上下に振る動作を英語で何というでしょう？,ヘッドバンギング
525,人間の臓器のうち、胆汁を作ったり、養分を貯えたり、毒物を分解したりするのは何でしょう？,肝臓
526,1284年6月26日、130人の少年少女たちが笛吹き男に連れ去られたという伝説がある、ドイツ・ニーダーザクセン州の都市はどこでしょう？,ハーメルン
527,女性デュオ「PUFFY」のプロデュース活動や、ソロ名義での『愛のために』や『イージュー★ライダー』などのヒット曲で知られる、ロックバンド「ユニコーン」のボーカリストは誰でしょう？,奥田民生
528,法律用語で、犯罪の意思のない者をそそのかして犯罪を行わせることを、漢字2文字で何というでしょう？,教唆
529,日本語での物の数え方で、琵琶、琴、鏡、テニスコートを数える時に共通して使われる助数詞は何でしょう？,面
530,日本国憲法第67条において「国会議員の中から国会の議決で、これを指名する」と規定されている、日本の行政府の長にあたる役職は何でしょう？,内閣総理大臣
531,プログラマーの上谷隆宏が考案し2007年に開設された、イラストや漫画などの公開・閲覧を中心としたSNSは何でしょう？,pixiv
532,ゴルフで、打球が利き手の方向に大きく曲がって飛んでいく球筋を英語で何というでしょう？,スライス
533,プロレスの興行で悪役として振る舞うレスラーのことを英語で一般に何というでしょう？,ヒール
534,卓球のラケットの持ち方を大きく2つに分けると、ペンホルダーと何でしょう？,シェークハンド
535,嶋田隆司と中井義則の2人が組む、『闘将!!︎拉麺男』や『キン肉マン』などで知られる漫画家ユニットのペンネームは何でしょう？,ゆでたまご
536,生活に無駄なものを用いず、必要最低限の家財や持ち物で生活する人のことを、「最小限主義者」などと訳される英語で何というでしょう？,ミニマリスト
537,ゲーム『ドラゴンクエスト』シリーズに登場する盗賊の親分と、芥川龍之介の小説『蜘蛛の糸』の主人公に共通する名前は何でしょう？,カンダタ
538,ショパンのピアノ練習曲作品10・第5番のことを、右手で演奏される主旋律が一曲を通じてほぼ白鍵を使わないことに由来する通称で「何のエチュード」というでしょう？,黒鍵のエチュード
539,印刷物を仕上げる際に、仕上がりサイズに裁断するための位置を示すマークのことを、その形がある昆虫に似ていることから何というでしょう？,トンボ
540,メガネフレームの国内シェア9割以上を誇る福井県の都市は何市でしょう？,鯖江市
541,THE BOOMの歌『島唄』の歌い出しにも登場し、その花が綺麗に咲くと台風の被害が大きくなるという言い伝えがある、沖縄の県の花でもあるマメ科の植物は何でしょう？,デイゴ
542,英語版での名前は「Mega Man」という、初代はライト博士が家庭用のお手伝いロボットを戦闘用ロボットに改造したという設定の、カプコンのアクションゲームシリーズのキャラクターは何でしょう？,ロックマン
543,ギリシャ語で「行く」という意味がある、電荷を帯びた原子または原子団のことを何というでしょう？,イオン
544,インドの国技・カバディは、1チーム何人で行われるスポーツでしょう？,7
545,2010年にアイドルグループ・さくら学院に所属するメンバーで結成された、代表曲に『イジメ、ダメ、ゼッタイ』『ギミチョコ!!』などがあり、アイドルとメタルの融合をテーマに活動する2人組女性メタルユニットは何でしょう？,BABYMETAL
546,積雪のある「ホワイトクリスマス」に対して、積雪のないクリスマスのことを、ある色を使って「何クリスマス」というでしょう？,グリーンクリスマス
547,アンデルセンの童話『親指姫』で、親50指姫が生まれたのは何の花の中からでしょう？,チューリップ
548,オリンピックの陸上競技種目の中で、50kmという最も長い距離で行われる種目があるのは何という競技でしょう？,競歩
549,「子持ち昆布」や「数の子」といえば、普通何という魚の卵を用いた食品でしょう？,ニシン
550,1955年にイギリスの精神科医ジョン・トッドによって命名された、自分の体や周囲の物体の大きさが実際とは異なって感じられることを主な症状とする症候群を、ある文学作品のタイトルから何症候群というでしょう？,不思議の国のアリス症候群
551,代表作に『白痴』『罪と罰』『カラマーゾフの兄弟』などがある、19世紀のロシアの作家は誰でしょう？,フョードル・ドストエフスキー
552,日本で最も南にある県は沖縄県ですが、最も北にある県はどこでしょう？,青森県
553,1980年代後半にソビエト連邦のゴルバチョフ政権により進められた政治体制の改革運動のことを、「再構築」という意味のロシア語で何というでしょう？,ペレストロイカ
554,英語圏においては熱力学第二法則を説明する際の比喩にも用いられる、マザー・グースに登場する卵を擬人化したキャラクターは何でしょう？,ハンプティ・ダンプティ
555,将棋などで、対局後に盤面を再現して着手の善し悪しや最善手などを検討することを何戦というでしょう？,感想戦
556,日本ペンクラブの初代会長を務めた、代表作に『若菜集』『破戒』『夜明け前』などがある小説家は誰でしょう？,島崎藤村
557,古代中国の前漢と後漢の間の時期に、約15年だけ成立していた王朝は何でしょう？,新
558,女性文芸誌『青鞜』の創刊号に寄せた「元始、女性は実に太陽であった。」という言葉で知られる、市川房枝らとともに新婦人協会を設立した女性解放運動家は誰でしょう？,平塚らいてう
559,題91：春の七草で、スズナは蕪のことですが、スズシロといえば一般に何と呼ばれる野菜のことでしょう？,大根
560,1492年にグラナダが陥落したことで完了した、イスラム教徒に征服されていたイベリア半島に対してキリスト教徒が行った国土回復運動のことをスペイン語で何というでしょう？,レコンキスタ
561,能や狂言で、主役を務める人のことを何というでしょう？,シテ
562,日本では柳屋本店のものが有名な、強い固定力と艶のある仕上がりが特徴の油性の整髪料を、ラテン語の「りんご」や「果実」を意味する言葉から何というでしょう？,ポマード
563,専門的には「両親媒性物質」とも呼ばれ、水と油にそれぞれなじみやすい部分を併せ持つことによって表面張力を下げる性質を持つ、一般的な洗剤の主成分となっている物質を総称して何剤というでしょう？,界面活性剤
564,サンリオのキャラクター「ハローキティ」のボーイフレンドの名前は「何・スター」でしょう？,ダニエル・スター
565,馬子が問屋へ荷物を取りに行くついでに他の荷物を届けて手間賃を得たことから、あることのついでに他のことをすることを「行き掛けの何」というでしょう？,行き掛けの駄賃
566,天守が国宝に指定されている5城のうちの1つで、別名「烏城」ともいう長野県の城は何城でしょう？,松本城
567,超一流のスナイパー「デューク東郷」の活躍を描いた、さいとう・たかをの漫画のタイトルは何でしょう？,『ゴルゴ13』
568,関東では大きさによってワカシ、イナダ、ワラサと名前を変える出世魚は何でしょう？,ブリ
569,ブレトン・ウッズ体制下の1949年から1971年まで、日本円とアメリカドルの交換レートは1ドル＝何円と固定されていたでしょう？,360円
570,フランス語では「集合住宅の管理人」という意味の単語で、ホテルやマンション、デパートなどで利用者の様々な要望に応えたり、案内に対応したりする職業を何というでしょう？,コンシェルジュ
571,英語で「光沢」といった意味がある言葉で、唇や髪などに光沢をもたらす化粧品を総称して何というでしょう？,グロス
572,「アルツハイマー病」に名を残すアロイス・アルツハイマーは、今でいうどこの国の精神科医でしょう？,ドイツ
573,商売が流行らない様子を表す「閑古鳥が鳴く」の「閑古鳥」とは、何という鳥のことでしょう？,カッコウ
574,「夏も近づく八十八夜」という歌い出しで始まる、初夏の光景を描いた日本の文部省唱歌は何でしょう？,50
575,メキシコのハリスコ州周辺でのみ製造が認められている、リュウゼツランの樹液を原料に作られる蒸留酒は何でしょう？,テキーラ
576,1950年に始まった朝鮮戦争への在日米軍出兵に伴い、日本の防衛力が低下することを憂慮したGHQがその発足を指示した、現在の自衛隊の起源となった組織は何でしょう？,警察予備隊
577,「並立」「複並立」「包囲」「放射」などの配列様式があり、シダ植物と種子植物に見られる、道管や師管などを含む束状の組織のことを何というでしょう？,維管束
578,化学式C11H17N3O8で表される、薬学者の田原良純により抽出されたフグの卵巣に含まれる毒性物質は何でしょう？,テトロドトキシン
579,最高峰はアネト山である、スペインとフランスの国境にそびえる山脈は何山脈でしょう？,ピレネー山脈
580,1979年にユネスコの世界遺産に登録され、名物のオムレツ料理でも知られる、フランスのサン・マロ湾に浮かぶ小島に位置する修道院は何でしょう？,モン・サン・ミシェル
581,世界最大の島であるグリーンランドはどこの国の一部でしょう？,デンマーク王国
582,2001年新設のアカデミー賞長編アニメーション賞で最初の受賞作となった、人々に恐れられているものの心は優しい全身緑色の怪物を主人公とする、ドリームワークス制作のアニメ映画は何でしょう？,『シュレック』
583,1921年に光電効果の解明によりノーベル物理学賞を受賞した、ブラウン運動の解明や相対性理論の発見などの功績でも知られるドイツの物理学者は誰でしょう？,アルベルト・アインシュタイン
584,気象庁の用語の「真夏日」とは、1日の最高気温が摂氏何度以上の日のことでしょう？,摂氏30度以上
585,だし汁に醤油や砂糖、みりんなどを加えて作られる、関東風のすき焼きや柳川鍋の煮汁として使われる調味料は何でしょう？,割下
586,インドネシアの首都・ジャカルタがある島は何島でしょう？,ジャワ島
587,お笑いコンテスト『THE MANZAI 2014』の優勝コンビで、うち1人は2006年の『R-1ぐらんぷり』でも児玉清のモノマネネタで優勝している、福岡吉本出身の漫才コンビといえば何でしょう？,博多華丸・大吉
588,小倉百人一首に収められた和歌「この度は幣もとりあへず手向山 紅葉の錦神のまにまに」を詠んだ、現在では学問の神様として天満宮などで祀られている平安時代の政治家は誰でしょう？,菅原道真
589,現在はドイツ・ブランデンブルク州の州都である都市で、1945年にアメリカ、イギリス、ソ連の3か国により第二次世界大戦での日本の降伏条件などを決定する会談が行われたことで知られるのはどこでしょう？,ポツダム
590,唐から帰朝した最澄が805年に日本に伝え、日本では比叡山延暦寺が総本山となっている仏教の宗派を、一般にその発祥地である中国の山の名を用いて何宗というでしょう？,天台宗
591,化学式はC5H12N2O2で、シジミに含まれる健康成分として近年サプリメントなどに使用されているアミノ酸の一種は何でしょう？,オルニチン
592,1895年の下関条約により日本に割譲されるも、いわゆる三国干渉によって清に返還された、現在の中国・遼寧省にあり旅順や大連などの都市が位置する半島を音読みで何半島というでしょう？,遼東半島
593,JIS規格における鉛筆の硬度記号の1つ「B」は、何という英単語の略でしょう？,ブラック
594,元々は「サイコロを振って出た目のままに行動する」という意味だったとする説がある、いいかげんであることを意味する仮名4文字の言葉は何でしょう？,でたらめ
595,大相撲の観戦席の一種として設けられている、四角く区切られた枠の中に4人分の座布団を敷いた座席のことを何というでしょう？,升席
596,1516年4月23日にバイエルン公ヴィルヘルム4世が制定し、現在有効な飲食物に関するものとしては世界最古とされる法律を、その対象となっているある飲み物の名をとって「何純粋令」というでしょう？,ビール純粋令
597,『ドラゴンボール』のクリリン、『天空の城ラピュタ』のパズー、『ONE PIECE』のルフィといったアニメキャラクターを演じた、青二プロダクション所属の声優は誰でしょう？,田中真弓
598,江戸時代の三大改革のうち、上知令、株仲間の解散、人返し令などの政策が行われた、老中・水野忠邦の主導による改革のことを一般に何の改革というでしょう？,天保の改革
599,仕事などが始めたばかりで不慣れである人と、その年に収穫したある穀物という2つの意味を持つ漢字2字の言葉は何でしょう？,新米
600,バレーボールで、リードしているチームの得点が8点及び16点に達した時に自動的に取られるタイムアウトのことを、特に「何タイムアウト」というでしょう？,テクニカルタイムアウト
601,自己抗体の過剰な産生により甲状腺ホルモンが多量に分泌され、眼球突出や動悸などに代表される様々な症状が現れる病気を、これを発見したドイツ人医師の名前をとって何病というでしょう？,バセドウ病
602,1986年に漫画『ちょっとまってて』でデビューした、『4番サード』『YAIBA』『名探偵コナン』などの作品で知られる漫画家は誰でしょう？,青山剛昌
